nodeID,count
42491554,659
42424089,521
42435663,517
598622281,435
1773076511,426
42430664,415
1942054812,415
42437368,395
4288677093,388
42729363,388
277029681,381
42423020,370
42428433,360
42430673,360
42432856,358
4443775465,356
1918039864,354
42430333,352
42437654,345
42437363,341
42455751,338
42481948,335
3638049583,333
452384721,333
596366381,332
42432861,327
4779073679,326
598622244,326
42435657,326
42487339,324
42440815,323
42463947,319
42430384,317
42437371,316
42491613,315
42449685,310
5131026388,307
42742681,305
598043793,302
42443116,297
2954866546,292
42446959,292
42429773,290
42437644,289
42497832,287
546971192,286
42429981,284
460005870,283
42474832,279
5214547511,276
42427968,276
42739330,276
42435671,274
42434439,273
42430271,273
42443804,271
42439984,271
279202766,269
42442734,268
42844306,267
42432818,267
42437670,267
42437358,265
42474834,262
42424098,262
42429754,262
1372888911,260
42445001,259
42435644,258
42465230,255
4202699381,253
42442584,253
42911782,252
42427970,251
42430253,249
42435642,248
42508786,248
42445378,247
42439994,246
42742618,245
42435714,245
42435675,245
42837569,245
42442937,244
42444457,243
42491704,243
42865368,242
62915549,241
42435646,241
42435654,239
42448996,239
42866365,239
42437693,238
42440838,237
1919595915,236
42429762,236
42440710,235
42436527,234
42432834,231
2439690418,231
2757013603,230
42741759,229
42875383,226
42456049,226
42491585,226
42435451,225
42442889,225
42449971,225
42428297,223
3527276331,223
42497780,222
42491792,221
42445037,220
42449945,218
42497899,217
597826118,217
4491359481,217
42474838,217
1345484456,217
1258875754,217
42440729,216
42432246,216
42497456,216
42442961,214
42442963,214
42810596,214
42453246,213
1347335731,213
42448701,213
42440743,213
42483504,212
247081122,211
42439996,210
42744060,209
42741775,209
42440313,209
42497737,209
561035343,209
42427821,209
597414738,208
42435596,208
42430394,205
4202516282,205
42725071,204
42444985,203
42435422,203
42508816,203
452271936,202
42474831,202
42885584,201
42875458,201
42493972,200
42481746,199
42444991,198
42429570,198
42832512,198
42489210,198
42430304,198
42455643,198
42449932,198
42492967,198
42437396,197
42437959,197
42437663,196
596478944,196
42464672,195
42740594,194
42435650,194
42427316,194
42430371,194
42735692,193
42442918,192
42432700,192
42439823,192
42430633,191
42444909,191
42446504,191
42437890,190
42435624,190
276314964,190
42427965,190
42860580,190
42869230,189
598043788,189
42467466,189
42445390,189
42433620,188
42435677,188
42498334,188
2924921650,188
3630249566,188
42434965,188
42843731,187
42439440,187
42431260,186
4461990857,186
42423885,186
597728157,185
42439981,185
598322204,184
42508782,184
598433545,184
42437324,184
1942054210,184
42444456,184
42434434,183
42429769,183
42741781,182
2757013421,182
2954866560,182
42439990,182
2711029280,182
42474811,182
42439955,181
2141026503,181
42445417,180
42730993,180
1258875665,179
42494033,179
42439952,179
